City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Eureka,US,54.0,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
2,Ushuaia,AR,64.4,scattered clouds,-54.8,-68.3,Albatros Hotel
5,Amnat Charoen,TH,63.72,overcast clouds,15.9167,104.75,หอพักนักศึกษา
11,Batemans Bay,AU,60.01,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
12,Hobart,AU,50.0,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
16,Barcelona,ES,57.0,few clouds,41.3888,2.1590000000000003,Axel Hotel Barcelona
30,Bluff,NZ,52.41,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
32,Ribeira Grande,PT,62.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
34,Busselton,AU,54.0,overcast clouds,-33.65,115.3333,Observatory Guest House
40,Gat,IL,64.0,clear sky,31.61,34.7642,OlusHome
43,Cerritos,US,59.0,overcast clouds,33.8583,-118.0648,La Quinta Inn & Suites by Wyndham Buena Park
47,Urgut,UZ,50.0,overcast clouds,39.4022,67.2431,NWH
51,Middelburg,ZA,64.49,few clouds,-25.7751,29.4648,Oregon Place Guest House
53,Saint George,US,61.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
55,Mount Gambier,AU,53.6,clear sky,-37.8333,140.7667,Commodore on the Park
61,Luang Prabang,LA,55.98,few clouds,19.8856,102.1347,Villa Oasis
64,Muros,ES,51.01,light rain,42.7762,-9.0603,Apartment Av. Castelao
68,Tezu,IN,60.69,clear sky,27.9167,96.1667,Circuit House
69,Faya,SA,50.0,clear sky,18.3851,42.4509,مقبرة ال مجمل
72,San Jeronimo,PE,61.74,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
82,Laurel,US,50.0,clear sky,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
84,Jimma,ET,64.06,scattered clouds,7.6667,36.8333,Jimma Central Hotel
88,Nola,IT,55.99,few clouds,40.922,14.5329,Pamaran Hotel
90,Kirkuk,IQ,56.14,clear sky,35.4681,44.3922,Cihad Oteli
96,Balkanabat,TM,51.64,clear sky,39.5108,54.3671,Nebitchi Hotel
107,Airai,TL,61.38,overcast clouds,-8.9266,125.4092,Juvinal Martin
108,Kaitangata,NZ,55.0,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
112,Waipawa,NZ,64.4,broken clouds,-41.4122,175.5153,Tora Coastal Walk
132,Launceston,AU,50.0,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
