City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Eureka,US,40.8021,-124.1637,54.0,72,100,3.0,overcast clouds
1,Skibbereen,IE,51.55,-9.2667,33.8,64,75,20.71,broken clouds
2,Ushuaia,AR,-54.8,-68.3,64.4,59,40,4.61,scattered clouds
3,Bar-Le-Duc,FR,48.75,5.1667,32.0,80,90,6.91,overcast clouds
4,Tucuma,BR,-0.1833,-50.05,78.82,87,88,7.83,moderate rain
5,Amnat Charoen,TH,15.9167,104.75,63.72,83,100,17.49,overcast clouds
6,Albany,US,42.6001,-73.9662,28.0,87,100,3.06,light snow
7,Amazar,RU,53.858,120.875,-2.09,90,21,2.01,few clouds
8,Taman,RU,45.2117,36.7161,48.2,81,0,8.95,clear sky
9,Usinsk,RU,65.9939,57.5281,-24.12,87,97,1.21,overcast clouds
10,Castro,BR,-24.7911,-50.0119,72.37,67,100,6.38,overcast clouds
11,Batemans Bay,AU,-35.7167,150.1833,60.01,94,100,1.99,overcast clouds
12,Hobart,AU,-42.8794,147.3294,50.0,81,20,5.75,few clouds
13,Port Alfred,ZA,-33.5906,26.891,70.0,91,28,2.15,scattered clouds
14,Butaritari,KI,3.0707,172.7902,80.89,83,5,16.55,clear sky
15,Mataura,NZ,-46.1927,168.8643,48.15,95,100,5.48,overcast clouds
16,Barcelona,ES,41.3888,2.159,57.0,76,20,18.41,few clouds
17,Makakilo City,US,21.3469,-158.0858,75.2,50,40,5.75,scattered clouds
18,Cayenne,GF,4.9333,-52.3333,82.4,69,75,12.66,broken clouds
19,Dikson,RU,73.5069,80.5464,-29.11,87,96,9.98,overcast clouds
20,Atuona,PF,-9.8,-139.0333,79.23,76,14,18.9,few clouds
21,Meyzieu,FR,45.7667,5.0,42.8,81,100,3.44,light intensity drizzle
22,Khatanga,RU,71.9667,102.5,-18.81,84,0,9.93,clear sky
23,Severo-Kurilsk,RU,50.6789,156.125,25.59,94,100,24.99,light snow
24,Vaini,TO,-21.2,-175.2,80.6,89,90,21.85,moderate rain
25,Rikitea,PF,-23.1203,-134.9692,78.33,72,50,7.18,light rain
26,Avarua,CK,-21.2078,-159.775,82.4,78,100,6.91,overcast clouds
27,Cherskiy,RU,68.75,161.3,-3.51,84,0,1.07,clear sky
28,Poum,NC,-20.2333,164.0167,79.9,70,0,13.8,clear sky
29,Qaanaaq,GL,77.484,-69.3632,18.03,73,0,5.1,clear sky
30,Bluff,NZ,-46.6,168.3333,52.41,86,100,8.97,overcast clouds
31,Manicore,BR,-5.8092,-61.3003,77.36,92,100,1.97,light rain
32,Ribeira Grande,PT,38.5167,-28.7,62.6,94,75,24.16,broken clouds
33,Salalah,OM,17.0151,54.0924,77.0,53,0,2.3,clear sky
34,Busselton,AU,-33.65,115.3333,54.0,98,88,1.01,overcast clouds
35,Upernavik,GL,72.7868,-56.1549,10.6,76,22,2.19,few clouds
36,Villarrica,PY,-25.75,-56.4333,82.35,71,100,2.04,overcast clouds
37,Uige,AO,-7.6087,15.0613,67.59,96,100,4.61,light rain
38,Sola,VU,-13.8833,167.55,81.97,71,100,2.19,overcast clouds
39,Atambua,ID,-9.1061,124.8925,75.33,89,100,1.72,overcast clouds
40,Gat,IL,31.61,34.7642,64.0,40,0,1.81,clear sky
41,Egvekinot,RU,66.3167,-179.1667,-13.38,75,52,9.71,broken clouds
42,Carnarvon,AU,-24.8667,113.6333,73.4,100,40,19.57,scattered clouds
43,Cerritos,US,33.8583,-118.0648,59.0,72,90,5.75,overcast clouds
44,Coos Bay,US,43.3665,-124.2179,48.0,76,40,4.27,scattered clouds
45,Puerto Ayora,EC,-0.7393,-90.3518,81.0,89,90,14.97,light rain
46,Mar Del Plata,AR,-38.0023,-57.5575,69.8,68,75,16.11,broken clouds
47,Urgut,UZ,39.4022,67.2431,50.0,66,100,4.61,overcast clouds
48,Longyearbyen,SJ,78.2186,15.6401,15.8,79,75,10.36,light snow
49,Yellowknife,CA,62.456,-114.3525,-8.0,70,90,18.41,snow
50,Port Lincoln,AU,-34.7333,135.8667,69.51,61,0,7.87,clear sky
51,Middelburg,ZA,-25.7751,29.4648,64.49,83,11,7.45,few clouds
52,Porecatu,BR,-22.7558,-51.3792,87.8,29,20,6.91,few clouds
53,Saint George,US,37.1041,-113.5841,61.0,26,1,2.24,clear sky
54,Bengkulu,ID,-3.8004,102.2655,75.61,88,100,5.08,overcast clouds
55,Mount Gambier,AU,-37.8333,140.7667,53.6,94,0,5.75,clear sky
56,Aklavik,CA,68.2191,-135.0107,-38.2,74,0,2.3,clear sky
57,Sept-Iles,CA,50.2001,-66.3821,15.01,41,20,10.36,few clouds
58,Santa Isabel,BR,-23.3156,-46.2214,75.2,73,40,9.22,scattered clouds
59,Mitu,CO,1.1983,-70.1733,82.09,91,100,3.53,heavy intensity rain
60,Kapaa,US,22.0752,-159.319,71.6,49,1,21.85,clear sky
61,Luang Prabang,LA,19.8856,102.1347,55.98,86,19,1.48,few clouds
62,Saint-Philippe,RE,-21.3585,55.7679,80.6,69,75,14.97,light rain
63,Cape Town,ZA,-33.9258,18.4232,71.01,83,0,24.16,clear sky
64,Muros,ES,42.7762,-9.0603,51.01,85,98,3.0,light rain
65,Mehamn,NO,71.0357,27.8492,23.0,93,90,27.63,snow
66,Notse,TG,6.95,1.1667,86.68,57,64,10.29,broken clouds
67,Chokurdakh,RU,70.6333,147.9167,-12.89,88,31,3.78,scattered clouds
68,Tezu,IN,27.9167,96.1667,60.69,36,0,4.14,clear sky
69,Faya,SA,18.3851,42.4509,50.0,76,0,5.12,clear sky
70,Kununurra,AU,-15.7667,128.7333,73.4,82,90,4.61,overcast clouds
71,Kapoeta,SS,4.7717,33.5903,82.62,42,67,3.24,broken clouds
72,San Jeronimo,PE,-11.9472,-75.2829,61.74,54,100,2.21,overcast clouds
73,Kokopo,PG,-4.352,152.2633,78.17,84,87,5.37,overcast clouds
74,Punta Arenas,CL,-53.15,-70.9167,69.8,52,0,5.75,clear sky
75,Susuman,RU,62.7833,148.1667,-6.63,85,100,5.28,overcast clouds
76,Hermanus,ZA,-34.4187,19.2345,66.99,84,0,9.08,clear sky
77,El Sauce,NI,12.8869,-86.539,75.2,60,40,18.41,scattered clouds
78,Chuy,UY,-33.6971,-53.4616,73.63,72,0,10.07,clear sky
79,Faanui,PF,-16.4833,-151.75,81.7,73,0,15.41,clear sky
80,Dingle,PH,10.9995,122.6711,73.27,94,100,4.63,overcast clouds
81,Kahului,US,20.8947,-156.47,71.6,68,75,18.41,broken clouds
82,Laurel,US,39.0993,-76.8483,50.0,53,1,6.91,clear sky
83,Tuktoyaktuk,CA,69.4541,-133.0374,-38.2,67,20,9.22,few clouds
84,Jimma,ET,7.6667,36.8333,64.06,65,49,2.28,scattered clouds
85,Piedras Negras,MX,28.7,-100.5167,77.0,65,40,6.91,scattered clouds
