City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Philippe,RE,2021-02-03 16:51:10,-21.3585,55.7679,82.4,65,75,1.14
1,Souillac,MU,2021-02-03 16:51:11,-20.5167,57.5167,80.6,78,40,8.05
2,Rikitea,PF,2021-02-03 16:51:11,-23.1203,-134.9692,77.79,71,43,12.21
3,Kapaa,US,2021-02-03 16:51:12,22.0752,-159.319,66.2,88,90,12.66
4,Hirara,JP,2021-02-03 16:51:13,24.8,125.2833,65.55,65,27,12.91
5,Uyuni,BO,2021-02-03 16:47:09,-20.4597,-66.825,63.81,36,67,11.65
6,Puerto Ayora,EC,2021-02-03 16:51:13,-0.7393,-90.3518,84.2,70,40,17.27
7,Whitefish,US,2021-02-03 16:51:13,48.4111,-114.3376,30.99,86,90,2.33
8,Hasaki,JP,2021-02-03 16:51:14,35.7333,140.8333,33.8,69,40,9.22
9,Lavrentiya,RU,2021-02-03 16:51:14,65.5833,-171.0,-11.24,83,45,15.5
10,Ushuaia,AR,2021-02-03 16:51:14,-54.8,-68.3,53.6,54,20,27.63
11,Eyl,SO,2021-02-03 16:51:14,7.9803,49.8164,73.9,71,97,17.92
12,Pangnirtung,CA,2021-02-03 16:51:14,66.1451,-65.7125,-16.6,69,1,2.3
13,Chuy,UY,2021-02-03 16:51:14,-33.6971,-53.4616,71.69,96,100,9.55
14,Hobart,AU,2021-02-03 16:49:24,-42.8794,147.3294,57.2,94,90,5.75
15,Nanortalik,GL,2021-02-03 16:51:15,60.1432,-45.2371,19.44,82,0,16.64
16,Qaanaaq,GL,2021-02-03 16:51:15,77.484,-69.3632,-19.97,68,32,3.22
17,Khani,GE,2021-02-03 16:51:15,41.9563,42.9566,50.0,53,0,3.44
18,Port Hardy,CA,2021-02-03 16:51:15,50.6996,-127.4199,41.0,100,75,3.44
19,Cape Town,ZA,2021-02-03 16:51:16,-33.9258,18.4232,73.99,64,0,23.02
20,San Patricio,US,2021-02-03 16:51:17,28.017,-97.5169,73.0,64,20,17.27
21,Zhangjiakou,CN,2021-02-03 16:51:18,40.81,114.8794,18.23,75,0,5.77
22,Manado,ID,2021-02-03 16:51:18,1.487,124.8455,75.2,94,40,1.5
23,Lebu,CL,2021-02-03 16:51:19,-37.6167,-73.65,65.16,65,0,13.78
24,Birao,CF,2021-02-03 16:51:19,10.2849,22.7882,87.12,17,0,1.19
25,Ostrovnoy,RU,2021-02-03 16:51:19,68.0531,39.5131,17.85,95,100,7.23
26,Hermanus,ZA,2021-02-03 16:51:21,-34.4187,19.2345,75.0,65,0,1.01
27,Ishigaki,JP,2021-02-03 16:48:21,24.3448,124.1572,66.58,65,30,10.83
28,Torbay,CA,2021-02-03 16:51:21,47.6666,-52.7314,37.0,100,90,27.63
29,Port Alfred,ZA,2021-02-03 16:51:23,-33.5906,26.891,73.0,88,0,3.0
30,Barrow,US,2021-02-03 16:51:23,71.2906,-156.7887,-27.4,68,1,12.66
31,Punta Arenas,CL,2021-02-03 16:51:23,-53.15,-70.9167,57.2,62,75,16.11
32,Phibun Mangsahan,TH,2021-02-03 16:50:26,15.2447,105.2291,73.4,60,0,9.22
